device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,algorithm,n_estimators,max_depth,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,log2,3.921751976013184,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,,3.938407897949219,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.1,3.896964073181152,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.2,3.846652030944824,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.3,4.146231651306152,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.4,4.002455711364745,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.5,3.942291259765625,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.6,3.8994636535644527,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.7,4.020089149475098,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.8,3.976280212402344,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.9,3.941679954528808,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,1,3.93336009979248,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,2,3.8808717727661137,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,3,3.814444541931152,True
