device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,measurements_per_room,measurements_per_corridor,weights,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,18.027756377319943,-1,eduroam,-100,0,-100,none,9,1,distance,knn_euclidean,5,3.826904296875,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,14.560219778561036,-1,eduroam,-100,0,-100,none,9,3,distance,knn_euclidean,5,3.766603469848633,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,9,5,distance,knn_euclidean,5,3.787962913513184,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_334,16.06237840420901,-1,eduroam,-100,0,-100,none,9,7,distance,knn_euclidean,5,3.7960519790649414,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,9,9,distance,knn_euclidean,5,3.785464286804199,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,9,11,distance,knn_euclidean,5,3.859307289123535,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,9,13,distance,knn_euclidean,5,3.8692007064819336,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,9,15,distance,knn_euclidean,5,3.9309120178222656,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,13.74772708486752,-1,eduroam,-100,0,-100,none,9,17,distance,knn_euclidean,5,3.867375373840332,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,9,19,distance,knn_euclidean,5,3.901731491088867,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,11,1,distance,knn_euclidean,5,3.835760116577149,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,11,3,distance,knn_euclidean,5,3.919951438903808,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,13.74772708486752,-1,eduroam,-100,0,-100,none,11,5,distance,knn_euclidean,5,3.876267433166504,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,11,7,distance,knn_euclidean,5,3.8785171508789062,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,11,9,distance,knn_euclidean,5,3.9175519943237305,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,14.560219778561036,-1,eduroam,-100,0,-100,none,11,11,distance,knn_euclidean,5,3.9321918487548833,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,13.74772708486752,-1,eduroam,-100,0,-100,none,11,13,distance,knn_euclidean,5,3.9192800521850586,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,13.74772708486752,-1,eduroam,-100,0,-100,none,11,15,distance,knn_euclidean,5,4.041851997375488,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,13.74772708486752,-1,eduroam,-100,0,-100,none,11,17,distance,knn_euclidean,5,3.955143928527832,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_35_corridor,13.74772708486752,-1,eduroam,-100,0,-100,none,11,19,distance,knn_euclidean,5,3.9285631179809566,Not False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.06237840420901,-1,eduroam,-100,0,-100,none,13,1,distance,knn_euclidean,5,3.871431350708008,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_353,16.73320053068151,-1,eduroam,-100,0,-100,none,13,3,distance,knn_euclidean,5,3.904044151306152,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,14.560219778561036,-1,eduroam,-100,0,-100,none,13,5,distance,knn_euclidean,5,3.9540481567382817,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,33,WH_C_335,2,WH_C_335,13.74772708486752,-1,eduroam,-100,0,-100,none,13,7,distance,knn_euclidean,5,3.915627479553222,True
