device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,weights,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.7252867762506718,all,-100,0,-100,none,distance,svm_linear,0.05,3.9342727661132817,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.7370804621820486,all,-100,0,-100,none,distance,svm_linear,0.1,4.070531845092773,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_402,0.73634108433774,all,-100,0,-100,none,distance,svm_linear,0.5,3.9221239089965825,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.7486218320199145,all,-100,0,-100,none,distance,svm_linear,1.0,3.9306125640869136,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.7180999839515512,all,-100,0,-100,none,distance,svm_linear,5.0,3.923068046569824,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_458,0.8593003968988985,all,-100,0,-100,none,distance,svm_rbf,0.001,3.9031724929809566,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_402,0.8364051019238521,all,-100,0,-100,none,distance,svm_rbf,0.005,3.9429521560668945,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.8414509418834762,all,-100,0,-100,none,distance,svm_rbf,0.01,3.9054269790649414,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_402,0.8296001784112365,all,-100,0,-100,none,distance,svm_rbf,0.05,3.9076242446899414,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_402,0.7830152199071605,all,-100,0,-100,none,distance,svm_rbf,0.1,3.9410715103149414,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,228,WH_C_401,12,WH_C_401,0.6653035424835793,all,-100,0,-100,none,distance,svm_rbf,0.5,4.0130205154418945,True
