device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_rssi_threshold,value_scaling_strategy,weights,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.5792588729463959,eduroam,-100,-100,none,distance,svm_rbf,1.0,3.959931373596192,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.6428389315998375,eduroam,-100,-100,none,distance,svm_rbf,0.5,4.016331672668458,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.1326116071094741,eduroam,-100,-100,exponential,distance,knn_euclidean,5.0,3.871115684509277,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.1326116071094741,eduroam,-100,-100,exponential,distance,knn_euclidean,7.0,3.910688400268555,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.1326116071094741,eduroam,-100,-100,exponential,distance,knn_euclidean,9.0,3.880991935729981,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.0302227175019551,eduroam,-100,-100,exponential,distance,knn_sorensen,5.0,3.881927490234375,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.0302227175019551,eduroam,-100,-100,exponential,distance,knn_sorensen,7.0,3.9682207107543945,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.0302227175019551,eduroam,-100,-100,exponential,distance,knn_sorensen,9.0,3.864378929138184,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_442,0.657459609370102,eduroam,-100,-100,exponential,distance,svm_linear,0.001,3.9525756835937504,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,398,WH_C_442,20,WH_C_444,0.7152762034317528,eduroam,-100,-100,exponential,distance,svm_linear,0.005,4.0625877380371085,False
